External Library Name, Link to License, License Name, Binaries using the license.
Qt WebSockets, https://doc.qt.io/qt-5.12/qtWebSockets-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-i386.exe, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
qemu, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/LICENSE, GPL-2.0-only, ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev
Qt WebEngineWidgets, https://doc.qt.io/qt-5.12/qtWebEngineWidgets-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-i386.exe, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
Qt Svg, https://doc.qt.io/qt-5.12/qtSvg-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-i386.exe, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
upb, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./nimble_bridge.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-i386-headless.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
Qt Widgets, https://doc.qt.io/qt-5.12/qtWidgets-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-i386.exe, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
picosha2, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/picosha2/LICENSE, MIT, ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./nimble_bridge.exe OpenglRender.dll android-emu-metrics.dll emugl_common.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/picosha2/
lz4, https://android.googlesource.com/platform/external/lz4/+/refs/heads/emu-master-dev/NOTICE, BSD-2-Clause, ./qsn.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./nimble_bridge.exe android-emu-metrics.dll android-emu-agents.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./emulator.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-i386-headless.exe android-emu-curl.dll emugl_common.dll ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe, https://android.googlesource.com/platform/external/lz4/+/refs/heads/emu-master-dev
dtc, https://kernel.googlesource.com/pub/scm/utils/dtc/dtc.git/+/refs/heads/master/README.license, GPL-2.0-or-later, ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe, https://kernel.googlesource.com/pub/scm/utils/dtc/dtc.git/+/refs/heads/master/
None, Apache-2.0, Apache-2.0, ./qsn.exe ./mksdcard.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./nimble_bridge.exe android-emu-metrics.dll android-emu-agents.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./emulator.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-i386-headless.exe android-emu-curl.dll emugl_common.dll ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe, 
LibXml2, https://github.com/GNOME/libxml2/blob/mainline/Copyright, MIT, ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./nimble_bridge.exe OpenglRender.dll android-emu-metrics.dll emugl_common.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/libxml2-2.9.2.tar.gz
pixman-1, https://gitlab.freedesktop.org/pixman/pixman/blob/master/COPYING, MIT, ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/pixman-0.34.0.tar.gz
breakpad, https://android.googlesource.com/platform/external/google-breakpad/+/refs/heads/emu-master-dev/LICENSE, BSD-3-Clause, ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-i386.exe, https://android.googlesource.com/platform/external/google-breakpad/+/refs/heads/emu-master-dev
gpr, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./nimble_bridge.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-i386-headless.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
protobuf, BSD-3-Clause, BSD-3-Clause, ./qsn.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./nimble_bridge.exe android-emu-metrics.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe android-emu-protos.dll OpenglRender.dll ./qemu/windows-x86_64/qemu-system-i386-headless.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe libprotobuf.dll ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe android-emu-tracing.dll, 
angle, https://chromium.googlesource.com/angle/angle/LICENSE, BSD-3-Clause, OpenglRender.dll lib64/libshadertranslator.dll ./emulator.exe, https://chromium.googlesource.com/angle/angle
boringssl, https://android.googlesource.com/platform/external/boringssl/+/refs/heads/master/NOTICE, OpenSSL, ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./nimble_bridge.exe OpenglRender.dll android-emu-metrics.dll android-emu-curl.dll emugl_common.dll ./emulator-check.exe ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe, https://android.googlesource.com/platform/external/boringssl/+/refs/heads/master
libcurl, https://android.googlesource.com/platform/external/curl/+/refs/heads/emu-master-dev/NOTICE, curl, ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./nimble_bridge.exe OpenglRender.dll android-emu-metrics.dll android-emu-curl.dll emugl_common.dll ./emulator-check.exe ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe, https://android.googlesource.com/platform/external/curl/+/refs/heads/emu-master-dev
vulkan-sdk, https://vulkan.lunarg.com/software/license/vulkan-1.2.162.1-linux-license-summary.txt, Apache-2.0, lib64/vulkan/vulkan-1.dll lib64/vulkan/vk_swiftshader.dll ./emulator.exe, https://vulkan.lunarg.com/sdk/home
qemu-system, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/LICENSES/LICENSE.APACHE2, Apache-2.0, ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev
vcredist, https://marketplace.visualstudio.com/items/VisualStudioProductTeam.VisualStudioProjectSystemExtensibilityPreview/license, 2017-redistribution-vs, ./msvcp140_codecvt_ids.dll lib64/msvcp140_codecvt_ids.dll lib64/vcruntime140.dll lib64/msvcp140.dll ./vcruntime140.dll lib64/concrt140.dll ./msvcp140_2.dll ./msvcp140_atomic_wait.dll lib64/vccorlib140.dll ./emulator.exe lib64/vcruntime140_1.dll ./msvcp140.dll ./vcruntime140_1.dll lib64/msvcp140_1.dll ./concrt140.dll lib64/msvcp140_atomic_wait.dll ./msvcp140_1.dll ./vccorlib140.dll lib64/msvcp140_2.dll, https://docs.microsoft.com/en-us/visualstudio/productinfo/2017-redistribution-vs
dirent, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/dirent-win32/NOTICE, MIT, ./qsn.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./nimble_bridge.exe android-emu-metrics.dll android-emu-agents.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./emulator.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-i386-headless.exe android-emu-curl.dll emugl_common.dll ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/dirent-win32
Qt Gui, https://doc.qt.io/qt-5.12/qtGui-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-i386.exe, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
ffmpeg, https://github.com/FFmpeg/FFmpeg/blob/master/LICENSE.md, GPL-2.0-or-later, ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./nimble_bridge.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-i386-headless.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/ffmpeg-3.4.5.tar.xz
libvpx, https://chromium.googlesource.com/webm/libvpx/+/refs/heads/master/LICENSE, BSD-3-Clause, ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./nimble_bridge.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-i386-headless.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe, https://chromium.googlesource.com/webm/libvpx/
glib-2.0, https://gitlab.gnome.org/GNOME/glib/blob/master/COPYING, LGPL-2.1-only, lib64/glib-2-vs11.dll ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./emulator.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./nimble_bridge.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-i386-headless.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/glib-2.38.2.tar.xz
grpc, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./nimble_bridge.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-i386-headless.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
e2fs, http://www.linfo.org/e2fsprogs.html, GPL-2.0-only, bin64/cygcom_err-2.dll bin64/cyge2p-2.dll bin64/e2fsck.exe bin64/cygiconv-2.dll ./emulator.exe bin64/resize2fs.exe bin64/cyggcc_s-1.dll bin64/cygext2fs-2.dll bin64/tune2fs.exe bin64/cygintl-8.dll bin64/cygwin1.dll bin64/cyguuid-1.dll bin64/cygblkid-1.dll, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/e2fsprogs-1.42.13-patches.tar.xz
